requester_name,requester_path,requested_name,requested_range,requested_type,resolved,resolved_path,resolved_version,latent_candidate
@ampproject/remapping,node_modules/@ampproject/remapping,@jridgewell/gen-mapping,^0.3.5,dependency,True,node_modules/@jridgewell/gen-mapping,0.3.8,False
@ampproject/remapping,node_modules/@ampproject/remapping,@jridgewell/trace-mapping,^0.3.24,dependency,True,node_modules/@jridgewell/trace-mapping,0.3.25,False
@angular-devkit/architect,node_modules/@angular-devkit/architect,@angular-devkit/core,19.0.6,dependency,True,node_modules/@angular-devkit/core,19.0.6,False
@angular-devkit/architect,node_modules/@angular-devkit/architect,rxjs,7.8.1,dependency,True,node_modules/rxjs,7.8.1,False
@angular-devkit/build-angular,node_modules/@angular-devkit/build-angular,@ampproject/remapping,2.3.0,dependency,True,node_modules/@ampproject/remapping,2.3.0,False
@angular-devkit/build-angular,node_modules/@angular-devkit/build-angular,@angular-devkit/architect,0.1900.6,dependency,True,node_modules/@angular-devkit/architect,0.1900.6,False
@angular-devkit/build-angular,node_modules/@angular-devkit/build-angular,@angular-devkit/build-webpack,0.1900.6,dependency,True,node_modules/@angular-devkit/build-webpack,0.1900.6,False
@angular-devkit/build-angular,node_modules/@angular-devkit/build-angular,@angular-devkit/core,19.0.6,dependency,True,node_modules/@angular-devkit/core,19.0.6,False
@angular-devkit/build-angular,node_modules/@angular-devkit/build-angular,@angular/build,19.0.6,dependency,True,node_modules/@angular/build,19.0.6,False
@angular-devkit/build-angular,node_modules/@angular-devkit/build-angular,@babel/core,7.26.0,dependency,True,node_modules/@babel/core,7.26.0,False
@angular-devkit/build-angular,node_modules/@angular-devkit/build-angular,@babel/generator,7.26.2,dependency,True,node_modules/@babel/generator,7.26.2,False
@angular-devkit/build-angular,node_modules/@angular-devkit/build-angular,@babel/helper-annotate-as-pure,7.25.9,dependency,True,node_modules/@babel/helper-annotate-as-pure,7.25.9,False
@angular-devkit/build-angular,node_modules/@angular-devkit/build-angular,@babel/helper-split-export-declaration,7.24.7,dependency,True,node_modules/@babel/helper-split-export-declaration,7.24.7,False
@angular-devkit/build-angular,node_modules/@angular-devkit/build-angular,@babel/plugin-transform-async-generator-functions,7.25.9,dependency,True,node_modules/@babel/plugin-transform-async-generator-functions,7.25.9,False
@angular-devkit/build-angular,node_modules/@angular-devkit/build-angular,@babel/plugin-transform-async-to-generator,7.25.9,dependency,True,node_modules/@babel/plugin-transform-async-to-generator,7.25.9,False
@angular-devkit/build-angular,node_modules/@angular-devkit/build-angular,@babel/plugin-transform-runtime,7.25.9,dependency,True,node_modules/@babel/plugin-transform-runtime,7.25.9,False
@angular-devkit/build-angular,node_modules/@angular-devkit/build-angular,@babel/preset-env,7.26.0,dependency,True,node_modules/@babel/preset-env,7.26.0,False
@angular-devkit/build-angular,node_modules/@angular-devkit/build-angular,@babel/runtime,7.26.0,dependency,True,node_modules/@babel/runtime,7.26.0,False
@angular-devkit/build-angular,node_modules/@angular-devkit/build-angular,@discoveryjs/json-ext,0.6.3,dependency,True,node_modules/@discoveryjs/json-ext,0.6.3,False
@angular-devkit/build-angular,node_modules/@angular-devkit/build-angular,@ngtools/webpack,19.0.6,dependency,True,node_modules/@ngtools/webpack,19.0.6,False
@angular-devkit/build-angular,node_modules/@angular-devkit/build-angular,@vitejs/plugin-basic-ssl,1.1.0,dependency,True,node_modules/@vitejs/plugin-basic-ssl,1.1.0,False
@angular-devkit/build-angular,node_modules/@angular-devkit/build-angular,ansi-colors,4.1.3,dependency,True,node_modules/ansi-colors,4.1.3,False
@angular-devkit/build-angular,node_modules/@angular-devkit/build-angular,autoprefixer,10.4.20,dependency,True,node_modules/autoprefixer,10.4.20,False
@angular-devkit/build-angular,node_modules/@angular-devkit/build-angular,babel-loader,9.2.1,dependency,True,node_modules/babel-loader,9.2.1,False
@angular-devkit/build-angular,node_modules/@angular-devkit/build-angular,browserslist,^4.21.5,dependency,True,node_modules/browserslist,4.24.3,False
@angular-devkit/build-angular,node_modules/@angular-devkit/build-angular,copy-webpack-plugin,12.0.2,dependency,True,node_modules/copy-webpack-plugin,12.0.2,False
@angular-devkit/build-angular,node_modules/@angular-devkit/build-angular,css-loader,7.1.2,dependency,True,node_modules/css-loader,7.1.2,False
@angular-devkit/build-angular,node_modules/@angular-devkit/build-angular,esbuild-wasm,0.24.0,dependency,True,node_modules/esbuild-wasm,0.24.0,False
@angular-devkit/build-angular,node_modules/@angular-devkit/build-angular,fast-glob,3.3.2,dependency,True,node_modules/fast-glob,3.3.2,False
@angular-devkit/build-angular,node_modules/@angular-devkit/build-angular,http-proxy-middleware,3.0.3,dependency,True,node_modules/http-proxy-middleware,3.0.3,False
@angular-devkit/build-angular,node_modules/@angular-devkit/build-angular,istanbul-lib-instrument,6.0.3,dependency,True,node_modules/istanbul-lib-instrument,6.0.3,False
@angular-devkit/build-angular,node_modules/@angular-devkit/build-angular,jsonc-parser,3.3.1,dependency,True,node_modules/jsonc-parser,3.3.1,False
@angular-devkit/build-angular,node_modules/@angular-devkit/build-angular,karma-source-map-support,1.4.0,dependency,True,node_modules/karma-source-map-support,1.4.0,False
@angular-devkit/build-angular,node_modules/@angular-devkit/build-angular,less,4.2.0,dependency,True,node_modules/less,4.2.0,False
@angular-devkit/build-angular,node_modules/@angular-devkit/build-angular,less-loader,12.2.0,dependency,True,node_modules/less-loader,12.2.0,False
@angular-devkit/build-angular,node_modules/@angular-devkit/build-angular,license-webpack-plugin,4.0.2,dependency,True,node_modules/license-webpack-plugin,4.0.2,False
@angular-devkit/build-angular,node_modules/@angular-devkit/build-angular,loader-utils,3.3.1,dependency,True,node_modules/loader-utils,3.3.1,False
@angular-devkit/build-angular,node_modules/@angular-devkit/build-angular,mini-css-extract-plugin,2.9.2,dependency,True,node_modules/mini-css-extract-plugin,2.9.2,False
@angular-devkit/build-angular,node_modules/@angular-devkit/build-angular,open,10.1.0,dependency,True,node_modules/open,10.1.0,False
@angular-devkit/build-angular,node_modules/@angular-devkit/build-angular,ora,5.4.1,dependency,True,node_modules/ora,5.4.1,False
@angular-devkit/build-angular,node_modules/@angular-devkit/build-angular,picomatch,4.0.2,dependency,True,node_modules/picomatch,4.0.2,False
@angular-devkit/build-angular,node_modules/@angular-devkit/build-angular,piscina,4.7.0,dependency,True,node_modules/piscina,4.7.0,False
@angular-devkit/build-angular,node_modules/@angular-devkit/build-angular,postcss,8.4.49,dependency,True,node_modules/@angular-devkit/build-angular/node_modules/postcss,8.4.49,False
@angular-devkit/build-angular,node_modules/@angular-devkit/build-angular,postcss-loader,8.1.1,dependency,True,node_modules/postcss-loader,8.1.1,False
@angular-devkit/build-angular,node_modules/@angular-devkit/build-angular,resolve-url-loader,5.0.0,dependency,True,node_modules/resolve-url-loader,5.0.0,False
@angular-devkit/build-angular,node_modules/@angular-devkit/build-angular,rxjs,7.8.1,dependency,True,node_modules/rxjs,7.8.1,False
@angular-devkit/build-angular,node_modules/@angular-devkit/build-angular,sass,1.80.7,dependency,True,node_modules/sass,1.80.7,False
@angular-devkit/build-angular,node_modules/@angular-devkit/build-angular,sass-loader,16.0.3,dependency,True,node_modules/sass-loader,16.0.3,False
@angular-devkit/build-angular,node_modules/@angular-devkit/build-angular,semver,7.6.3,dependency,True,node_modules/semver,7.6.3,False
@angular-devkit/build-angular,node_modules/@angular-devkit/build-angular,source-map-loader,5.0.0,dependency,True,node_modules/source-map-loader,5.0.0,False
@angular-devkit/build-angular,node_modules/@angular-devkit/build-angular,source-map-support,0.5.21,dependency,True,node_modules/source-map-support,0.5.21,False
@angular-devkit/build-angular,node_modules/@angular-devkit/build-angular,terser,5.36.0,dependency,True,node_modules/terser,5.36.0,False
@angular-devkit/build-angular,node_modules/@angular-devkit/build-angular,tree-kill,1.2.2,dependency,True,node_modules/tree-kill,1.2.2,False
@angular-devkit/build-angular,node_modules/@angular-devkit/build-angular,tslib,2.8.1,dependency,True,node_modules/tslib,2.8.1,False
@angular-devkit/build-angular,node_modules/@angular-devkit/build-angular,webpack,5.96.1,dependency,True,node_modules/webpack,5.96.1,False
@angular-devkit/build-angular,node_modules/@angular-devkit/build-angular,webpack-dev-middleware,7.4.2,dependency,True,node_modules/webpack-dev-middleware,7.4.2,False
@angular-devkit/build-angular,node_modules/@angular-devkit/build-angular,webpack-dev-server,5.1.0,dependency,True,node_modules/webpack-dev-server,5.1.0,False
@angular-devkit/build-angular,node_modules/@angular-devkit/build-angular,webpack-merge,6.0.1,dependency,True,node_modules/webpack-merge,6.0.1,False
@angular-devkit/build-angular,node_modules/@angular-devkit/build-angular,webpack-subresource-integrity,5.1.0,dependency,True,node_modules/webpack-subresource-integrity,5.1.0,False
@angular-devkit/build-angular,node_modules/@angular-devkit/build-angular,esbuild,0.24.0,optional,True,node_modules/esbuild,0.24.0,False
@angular-devkit/build-angular,node_modules/@angular-devkit/build-angular,@angular/compiler-cli,^19.0.0,peer,True,node_modules/@angular/compiler-cli,19.0.5,False
@angular-devkit/build-angular,node_modules/@angular-devkit/build-angular,@angular/localize,^19.0.0,peer,False,,,True
@angular-devkit/build-angular,node_modules/@angular-devkit/build-angular,@angular/platform-server,^19.0.0,peer,False,,,True
@angular-devkit/build-angular,node_modules/@angular-devkit/build-angular,@angular/service-worker,^19.0.0,peer,False,,,True
@angular-devkit/build-angular,node_modules/@angular-devkit/build-angular,@angular/ssr,^19.0.6,peer,False,,,True
@angular-devkit/build-angular,node_modules/@angular-devkit/build-angular,@web/test-runner,^0.19.0,peer,False,,,True
@angular-devkit/build-angular,node_modules/@angular-devkit/build-angular,browser-sync,^3.0.2,peer,False,,,True
@angular-devkit/build-angular,node_modules/@angular-devkit/build-angular,jest,^29.5.0,peer,False,,,True
@angular-devkit/build-angular,node_modules/@angular-devkit/build-angular,jest-environment-jsdom,^29.5.0,peer,False,,,True
@angular-devkit/build-angular,node_modules/@angular-devkit/build-angular,karma,^6.3.0,peer,True,node_modules/karma,6.4.4,False
@angular-devkit/build-angular,node_modules/@angular-devkit/build-angular,ng-packagr,^19.0.0,peer,False,,,True
@angular-devkit/build-angular,node_modules/@angular-devkit/build-angular,protractor,^7.0.0,peer,False,,,True
@angular-devkit/build-angular,node_modules/@angular-devkit/build-angular,tailwindcss,^2.0.0 || ^3.0.0,peer,True,node_modules/tailwindcss,3.4.17,False
@angular-devkit/build-angular,node_modules/@angular-devkit/build-angular,typescript,>=5.5 <5.7,peer,True,node_modules/typescript,5.6.3,False
postcss,node_modules/@angular-devkit/build-angular/node_modules/postcss,nanoid,^3.3.7,dependency,True,node_modules/nanoid,3.3.8,False
postcss,node_modules/@angular-devkit/build-angular/node_modules/postcss,picocolors,^1.1.1,dependency,True,node_modules/picocolors,1.1.1,False
postcss,node_modules/@angular-devkit/build-angular/node_modules/postcss,source-map-js,^1.2.1,dependency,True,node_modules/source-map-js,1.2.1,False
@angular-devkit/build-webpack,node_modules/@angular-devkit/build-webpack,@angular-devkit/architect,0.1900.6,dependency,True,node_modules/@angular-devkit/architect,0.1900.6,False
@angular-devkit/build-webpack,node_modules/@angular-devkit/build-webpack,rxjs,7.8.1,dependency,True,node_modules/rxjs,7.8.1,False
@angular-devkit/build-webpack,node_modules/@angular-devkit/build-webpack,webpack,^5.30.0,peer,True,node_modules/webpack,5.96.1,False
@angular-devkit/build-webpack,node_modules/@angular-devkit/build-webpack,webpack-dev-server,^5.0.2,peer,True,node_modules/webpack-dev-server,5.1.0,False
@angular-devkit/core,node_modules/@angular-devkit/core,ajv,8.17.1,dependency,True,node_modules/ajv,8.17.1,False
@angular-devkit/core,node_modules/@angular-devkit/core,ajv-formats,3.0.1,dependency,True,node_modules/ajv-formats,3.0.1,False
@angular-devkit/core,node_modules/@angular-devkit/core,jsonc-parser,3.3.1,dependency,True,node_modules/jsonc-parser,3.3.1,False
@angular-devkit/core,node_modules/@angular-devkit/core,picomatch,4.0.2,dependency,True,node_modules/picomatch,4.0.2,False
@angular-devkit/core,node_modules/@angular-devkit/core,rxjs,7.8.1,dependency,True,node_modules/rxjs,7.8.1,False
@angular-devkit/core,node_modules/@angular-devkit/core,source-map,0.7.4,dependency,True,node_modules/source-map,0.7.4,False
@angular-devkit/core,node_modules/@angular-devkit/core,chokidar,^4.0.0,peer,True,node_modules/chokidar,4.0.3,False
@angular-devkit/schematics,node_modules/@angular-devkit/schematics,@angular-devkit/core,19.0.6,dependency,True,node_modules/@angular-devkit/core,19.0.6,False
@angular-devkit/schematics,node_modules/@angular-devkit/schematics,jsonc-parser,3.3.1,dependency,True,node_modules/jsonc-parser,3.3.1,False
@angular-devkit/schematics,node_modules/@angular-devkit/schematics,magic-string,0.30.12,dependency,True,node_modules/magic-string,0.30.12,False
@angular-devkit/schematics,node_modules/@angular-devkit/schematics,ora,5.4.1,dependency,True,node_modules/ora,5.4.1,False
@angular-devkit/schematics,node_modules/@angular-devkit/schematics,rxjs,7.8.1,dependency,True,node_modules/rxjs,7.8.1,False
@angular/animations,node_modules/@angular/animations,tslib,^2.3.0,dependency,True,node_modules/tslib,2.8.1,False
@angular/animations,node_modules/@angular/animations,@angular/core,19.0.5,peer,True,node_modules/@angular/core,19.0.5,False
@angular/build,node_modules/@angular/build,@ampproject/remapping,2.3.0,dependency,True,node_modules/@ampproject/remapping,2.3.0,False
@angular/build,node_modules/@angular/build,@angular-devkit/architect,0.1900.6,dependency,True,node_modules/@angular-devkit/architect,0.1900.6,False
@angular/build,node_modules/@angular/build,@babel/core,7.26.0,dependency,True,node_modules/@babel/core,7.26.0,False
