installed_name,installed_version,installed_path,installed_dev,installed_optional
@alloc/quick-lru,5.2.0,node_modules/@alloc/quick-lru,True,False
@ampproject/remapping,2.3.0,node_modules/@ampproject/remapping,True,False
@angular-devkit/architect,0.1900.6,node_modules/@angular-devkit/architect,True,False
@angular-devkit/build-angular,19.0.6,node_modules/@angular-devkit/build-angular,True,False
postcss,8.4.49,node_modules/@angular-devkit/build-angular/node_modules/postcss,True,False
postcss,8.5.1,node_modules/postcss,True,False
@angular-devkit/build-webpack,0.1900.6,node_modules/@angular-devkit/build-webpack,True,False
@angular-devkit/core,19.0.6,node_modules/@angular-devkit/core,True,False
@angular-devkit/schematics,19.0.6,node_modules/@angular-devkit/schematics,True,False
@angular/animations,19.0.5,node_modules/@angular/animations,False,False
@angular/build,19.0.6,node_modules/@angular/build,True,False
@angular/cdk,19.0.4,node_modules/@angular/cdk,False,False
@angular/cli,19.0.6,node_modules/@angular/cli,True,False
@angular/common,19.0.5,node_modules/@angular/common,False,False
@angular/compiler,19.0.5,node_modules/@angular/compiler,False,False
@angular/compiler-cli,19.0.5,node_modules/@angular/compiler-cli,True,False
@angular/core,19.0.5,node_modules/@angular/core,False,False
@angular/forms,19.0.5,node_modules/@angular/forms,False,False
@angular/material,19.0.4,node_modules/@angular/material,False,False
@angular/platform-browser,19.0.5,node_modules/@angular/platform-browser,False,False
@angular/platform-browser-dynamic,19.0.5,node_modules/@angular/platform-browser-dynamic,False,False
@angular/router,19.0.5,node_modules/@angular/router,False,False
@babel/code-frame,7.26.2,node_modules/@babel/code-frame,True,False
@babel/compat-data,7.26.3,node_modules/@babel/compat-data,True,False
@babel/core,7.26.0,node_modules/@babel/core,True,False
convert-source-map,2.0.0,node_modules/@babel/core/node_modules/convert-source-map,True,False
convert-source-map,1.9.0,node_modules/convert-source-map,True,False
semver,6.3.1,node_modules/@babel/core/node_modules/semver,True,False
semver,6.3.1,node_modules/@babel/helper-compilation-targets/node_modules/semver,True,False
semver,6.3.1,node_modules/@babel/helper-create-class-features-plugin/node_modules/semver,True,False
semver,6.3.1,node_modules/@babel/helper-create-regexp-features-plugin/node_modules/semver,True,False
semver,6.3.1,node_modules/@babel/plugin-transform-runtime/node_modules/semver,True,False
semver,6.3.1,node_modules/@babel/preset-env/node_modules/semver,True,False
semver,6.3.1,node_modules/babel-plugin-polyfill-corejs2/node_modules/semver,True,False
semver,6.3.1,node_modules/karma-coverage/node_modules/semver,True,False
semver,5.7.2,node_modules/less/node_modules/semver,True,True
semver,7.6.3,node_modules/semver,True,False
@babel/generator,7.26.2,node_modules/@babel/generator,True,False
@babel/generator,7.26.3,node_modules/@babel/traverse/node_modules/@babel/generator,True,False
@babel/helper-annotate-as-pure,7.25.9,node_modules/@babel/helper-annotate-as-pure,True,False
@babel/helper-compilation-targets,7.25.9,node_modules/@babel/helper-compilation-targets,True,False
@babel/helper-create-class-features-plugin,7.25.9,node_modules/@babel/helper-create-class-features-plugin,True,False
@babel/helper-create-regexp-features-plugin,7.26.3,node_modules/@babel/helper-create-regexp-features-plugin,True,False
@babel/helper-define-polyfill-provider,0.6.3,node_modules/@babel/helper-define-polyfill-provider,True,False
@babel/helper-member-expression-to-functions,7.25.9,node_modules/@babel/helper-member-expression-to-functions,True,False
@babel/helper-module-imports,7.25.9,node_modules/@babel/helper-module-imports,True,False
@babel/helper-module-transforms,7.26.0,node_modules/@babel/helper-module-transforms,True,False
@babel/helper-optimise-call-expression,7.25.9,node_modules/@babel/helper-optimise-call-expression,True,False
@babel/helper-plugin-utils,7.25.9,node_modules/@babel/helper-plugin-utils,True,False
@babel/helper-remap-async-to-generator,7.25.9,node_modules/@babel/helper-remap-async-to-generator,True,False
@babel/helper-replace-supers,7.25.9,node_modules/@babel/helper-replace-supers,True,False
@babel/helper-skip-transparent-expression-wrappers,7.25.9,node_modules/@babel/helper-skip-transparent-expression-wrappers,True,False
@babel/helper-split-export-declaration,7.24.7,node_modules/@babel/helper-split-export-declaration,True,False
@babel/helper-string-parser,7.25.9,node_modules/@babel/helper-string-parser,True,False
@babel/helper-validator-identifier,7.25.9,node_modules/@babel/helper-validator-identifier,True,False
@babel/helper-validator-option,7.25.9,node_modules/@babel/helper-validator-option,True,False
@babel/helper-wrap-function,7.25.9,node_modules/@babel/helper-wrap-function,True,False
@babel/helpers,7.26.0,node_modules/@babel/helpers,True,False
@babel/parser,7.26.3,node_modules/@babel/parser,True,False
@babel/plugin-bugfix-firefox-class-in-computed-class-key,7.25.9,node_modules/@babel/plugin-bugfix-firefox-class-in-computed-class-key,True,False
@babel/plugin-bugfix-safari-class-field-initializer-scope,7.25.9,node_modules/@babel/plugin-bugfix-safari-class-field-initializer-scope,True,False
