path;name;version;resolved;integrity;dev;optional;license;engines.node;dependencies;dependents
;baltika;0.0.0;;;FALSE;FALSE;;;@angular/animations,@angular/cdk,@angular/common,@angular/compiler,@angular/core,@angular/forms,@angular/material,@angular/platform-browser,@angular/platform-browser-dynamic,@angular/router,@fortawesome/fontawesome-free,angular-auth-oidc-client,rxjs,tslib;
node_modules/@alloc/quick-lru;@alloc/quick-lru;5.2.0;https://registry.npmjs.org/@alloc/quick-lru/-/quick-lru-5.2.0.tgz;sha512-UrcABB+4bUrFABwbluTIBErXwvbsU/V7TZWfmbgJfbkwiBuziS9gxdODUyuiecfdGQ85jglMW6juS3+z5TsKLw==;TRUE;FALSE;MIT;>=10;;node_modules/tailwindcss
node_modules/@ampproject/remapping;@ampproject/remapping;2.3.0;https://registry.npmjs.org/@ampproject/remapping/-/remapping-2.3.0.tgz;sha512-30iZtAPgz+LTIYoeivqYo853f02jBYSd5uGnGpkFV0M3xOt9aN73erkgYAmZU43x4VfqcnLxW9Kpg3R5LC4YYw==;TRUE;FALSE;Apache-2.0;>=6.0.0;@jridgewell/gen-mapping,@jridgewell/trace-mapping;node_modules/@angular-devkit/build-angular,node_modules/@angular/build,node_modules/@babel/core,node_modules/@babel/core/node_modules/convert-source-map,node_modules/@babel/core/node_modules/semver
node_modules/@angular-devkit/architect;@angular-devkit/architect;0.1900.6;https://registry.npmjs.org/@angular-devkit/architect/-/architect-0.1900.6.tgz;sha512-w11bAXQnNWBawTJfQPjvaTRrzrqsOUm9tK9WNvaia/xjiRFpmO0CfmKtn3axNSEJM8jb/czaNQrgTwG+TGc/8g==;TRUE;FALSE;MIT;^18.19.1 || ^20.11.1 || >=22.0.0;@angular-devkit/core,rxjs;node_modules/@angular-devkit/build-angular,node_modules/@angular-devkit/build-webpack,node_modules/@angular/build,node_modules/@angular/cli
node_modules/@angular-devkit/build-angular;@angular-devkit/build-angular;19.0.6;https://registry.npmjs.org/@angular-devkit/build-angular/-/build-angular-19.0.6.tgz;sha512-dWTAsE6BSI8z0xglQdYBdqTBwg1Q+RWE3OrmlGs+520Dcoq/F0Z41Y1F3MiuHuQPdDAIQr88iB0APkIRW4clMg==;TRUE;FALSE;MIT;^18.19.1 || ^20.11.1 || >=22.0.0;@ampproject/remapping,@angular-devkit/architect,@angular-devkit/build-webpack,@angular-devkit/core,@angular/build,@babel/core,@babel/generator,@babel/helper-annotate-as-pure,@babel/helper-split-export-declaration,@babel/plugin-transform-async-generator-fu;
node_modules/@angular-devkit/build-angular/node_modules/postcss;postcss;8.4.49;https://registry.npmjs.org/postcss/-/postcss-8.4.49.tgz;sha512-OCVPnIObs4N29kxTjzLfUryOkvZEq+pf8jTF0lg8E7uETuWHA+v7j3c/xJmiqpX450191LlmZfUKkXxkTry7nA==;TRUE;FALSE;MIT;^10 || ^12 || >=14;nanoid,picocolors,source-map-js;node_modules/@angular-devkit/build-angular
node_modules/@angular-devkit/build-webpack;@angular-devkit/build-webpack;0.1900.6;https://registry.npmjs.org/@angular-devkit/build-webpack/-/build-webpack-0.1900.6.tgz;sha512-WehtVrbBow4fc7hsaUKb+BZ6MDE5lO98/tgv7GR5PkRdGKnyLA0pW1AfPLJJQDgcaKjneramMhDFNc1eGSX0mQ==;TRUE;FALSE;MIT;^18.19.1 || ^20.11.1 || >=22.0.0;@angular-devkit/architect,rxjs;node_modules/@angular-devkit/build-angular
node_modules/@angular-devkit/core;@angular-devkit/core;19.0.6;https://registry.npmjs.org/@angular-devkit/core/-/core-19.0.6.tgz;sha512-WUWJhzQDsovfMY6jtb9Ktz/5sJszsaErj+XV2aXab85f1OweI/Iv2urPZnJwUSilvVN5Ok/fy3IJ6SuihK4Ceg==;TRUE;FALSE;MIT;^18.19.1 || ^20.11.1 || >=22.0.0;ajv,ajv-formats,jsonc-parser,picomatch,rxjs,source-map;node_modules/@angular-devkit/architect,node_modules/@angular-devkit/build-angular,node_modules/@angular-devkit/schematics,node_modules/@angular/cli,node_modules/@schematics/angular
node_modules/@angular-devkit/schematics;@angular-devkit/schematics;19.0.6;https://registry.npmjs.org/@angular-devkit/schematics/-/schematics-19.0.6.tgz;sha512-R9hlHfAh1HKoIWgnYJlOEKhUezhTNl0fpUmHxG2252JSY5FLRxmYArTtJYYmbNdBbsBLNg3UHyM/GBPvJSA3NQ==;TRUE;FALSE;MIT;^18.19.1 || ^20.11.1 || >=22.0.0;@angular-devkit/core,jsonc-parser,magic-string,ora,rxjs;node_modules/@angular/cli,node_modules/@schematics/angular
node_modules/@angular/animations;@angular/animations;19.0.5;https://registry.npmjs.org/@angular/animations/-/animations-19.0.5.tgz;sha512-HCOF2CrhUvjoZWusd4nh32VOxpUrg6bV+3Z8Q36Ix3aZdni8v0qoP2rl5wGbotaPtYg5RtyDH60Z2AOPKqlrZg==;FALSE;FALSE;MIT;^18.19.1 || ^20.11.1 || >=22.0.0;tslib;,node_modules/@alloc/quick-lru
node_modules/@angular/build;@angular/build;19.0.6;https://registry.npmjs.org/@angular/build/-/build-19.0.6.tgz;sha512-KEVNLgTZUF2dfpOYQn+yR2HONHUTxq/2rFVhiK9qAvrm/m+uKJNEXx7hGtbRyoqenZff4ScJq+7feITUldfX8g==;TRUE;FALSE;MIT;^18.19.1 || ^20.11.1 || >=22.0.0;@ampproject/remapping,@angular-devkit/architect,@babel/core,@babel/helper-annotate-as-pure,@babel/helper-split-export-declaration,@babel/plugin-syntax-import-attributes,@inquirer/confirm,@vitejs/plugin-basic-ssl,beasties,browserslist,esbuild,fast-glob,htt;node_modules/@angular-devkit/build-angular
node_modules/@angular/cdk;@angular/cdk;19.0.4;https://registry.npmjs.org/@angular/cdk/-/cdk-19.0.4.tgz;sha512-P8V1n6AFFjBUJG3YRgw8DiiNDWPZVrwQ42wbwgZxd4s2TQAuNFg3YY8h/DSMVxt2sXpavrshZsoLtP9yLKZjHA==;FALSE;FALSE;MIT;;tslib;,node_modules/@alloc/quick-lru
