path,name,current_spec,target_version,covered
node_modules/@angular-devkit/architect,@art-ws/common,>=2.0.0 || <2.0.20,2.0.28,True
node_modules/@jsonjoy.com/base64,tslib,2,2.8.1,True
node_modules/@jsonjoy.com/json-pack,tslib,2,2.8.1,True
node_modules/@jsonjoy.com/util,tslib,2,2.8.1,True
node_modules/tree-dump,tslib,2,2.8.1,True
node_modules/@angular-devkit/build-angular,tslib,2.8.1,2.8.1,True
node_modules/thingies,tslib,^2,2.8.1,True
node_modules/memfs,tslib,^2.0.0,2.8.1,True
node_modules/rxjs,tslib,^2.1.0,2.8.1,True
node_modules/@angular/animations,tslib,^2.3.0,2.8.1,True
node_modules/@angular/cdk,tslib,^2.3.0,2.8.1,True
node_modules/@angular/common,tslib,^2.3.0,2.8.1,True
node_modules/@angular/compiler,tslib,^2.3.0,2.8.1,True
node_modules/@angular/compiler-cli,tslib,^2.3.0,2.8.1,True
node_modules/@angular/core,tslib,^2.3.0,2.8.1,True
node_modules/@angular/forms,tslib,^2.3.0,2.8.1,True
node_modules/@angular/material,tslib,^2.3.0,2.8.1,True
node_modules/@angular/platform-browser,tslib,^2.3.0,2.8.1,True
node_modules/@angular/platform-browser-dynamic,tslib,^2.3.0,2.8.1,True
node_modules/@angular/router,tslib,^2.3.0,2.8.1,True
node_modules/angular-auth-oidc-client,tslib,^2.3.0,2.8.1,True
node_modules/less,tslib,^2.3.0,2.8.1,True
